,reaction_id,EC_number
167,AMMQLT8,2.1.1.163
168,AMPN,3.2.2.4
169,AMPTASECG,3.4.13.18
170,ANPRT,2.4.2.18
171,ANS,4.1.3.27
172,AOBUTDs,1.1.1.381
173,AOXSr2,2.3.1.47
174,AP4AH,3.6.1.41
175,AP4AS,2.7.7
176,AP5AH,3.6.1.61
177,APCS,2.5.1.16
178,APPLDHr,2.3.1.37
179,APRAUR,1.1.1.193
180,ARAI,5.3.1.4
181,ARGDC,4.1.1.19
182,ARGDCpp,4.1.1.19
183,ARGSL,4.3.2.1
184,ARGSS,6.3.4.5
185,ARGTRS,6.1.1.19
186,ARGabcpp,3.6.3.21
187,ASAD,1.2.1.11
188,ASCBPL,3.1.1.-
189,ASNN,3.5.1.38
190,ASNNpp,3.5.1.38
191,ASNS1,6.3.5.4
192,ASNS2,6.3.1.1
193,ASNTRS,6.1.1.22
194,ASO3t8pp,3.6.3.16
195,ASP1DC,4.1.1.15
196,ASPCT,2.1.3.2
197,ASPK,2.7.2.4
198,ASPO5,1.5.99
199,ASPO6,1.4.3.16
200,ASPT,4.3.1.1
201,ASPTA,2.6.1.1
202,ASPTRS,6.1.1.23
203,ASPabcpp,3.6.3.21
204,AST,2.3.1.109
205,ATHRDHr,1.1.1.381
206,ATPHs,3.5.4.18
207,ATPM,3.6.4.9
208,ATPPRT,2.4.2.17
209,ATPS4rpp,3.6.3.14
210,BETALDHx,1.2.1.8
211,BETALDHy,1.2.1.8
212,BPNT,3.1.3.7
213,BSORy,1.-.-.-
214,BUTCT,2.8.3.8
215,CAT,1.11.1.6
216,CBIAT,2.5.1.17
217,CBL1abcpp,3.6.3.33
218,CBLAT,2.5.1.17
219,CBMD,4.2.1.104
220,CBMKr,2.7.2.2
221,CBPS,6.3.5.5
222,CD2abcpp,3.6.3.46
223,CDAPPA120,3.6.1.26
224,CDAPPA140,3.6.1.26
225,CDAPPA141,3.6.1.26
226,CDAPPA160,3.6.1.26
227,CDAPPA161,3.6.1.26
228,CDAPPA180,3.6.1.26
229,CDAPPA181,3.6.1.26
230,CDGR,1.7.1.13
231,CDPMEK,2.7.1.148
232,CFAS160E,2.1.1.79
233,CFAS160G,2.1.1.79
234,CFAS180E,2.1.1.79
235,CFAS180G,2.1.1.79
236,CHOLD,1.1.1.1
237,CHORM,5.4.99.5
238,CHORS,4.2.3.5
239,CHRPL,4.1.3.40
240,CINNDO,1.14.12.19
241,CITL,4.1.3.6
242,OMAIS,5.3.3.10
243,CMPN,3.2.2.10
244,CPH4S,4.1.2.50
245,CPMPS,4.1.99.18
246,CPPPGO,1.3.3.3
247,CPPPGO2,1.3.99.22
248,CRNBTCT,2.8.3.21
249,CRNCAR,5.1.1
250,CRNCBCT,2.8.3.21
251,CRNCDH,4.2.1.149
252,CS,2.3.3.3
253,CSND,3.5.4.1
254,CTECOAI6,5.3.3.8
255,CTECOAI7,5.3.3.8
256,CTECOAI8,5.3.3.8
257,CTPS2,6.3.4.2
258,CU1Opp,1.16.3
259,CU1abcpp,3.6.3.54
260,CU2abcpp,3.6.3.4
261,CYANST,2.8.1.1
262,CYANSTpp,2.8.1.1
263,CYSDDS,4.4.1.15
264,CYSDS,4.4.1.8
265,CYSS,2.5.1.65
266,CYSSADS,4.1.1.12
267,CYSTRS,6.1.1.16
268,CYSabc2pp,3.6.3.21
269,CYSabcpp,3.6.3.21
270,CYTD,3.5.4.5
271,CYTDH,3.2.2.8
272,CYTDK2,2.7.1.48
273,CYTK1,2.7.4.25
274,CYTK2,2.7.4.25
275,DAAD,1.4.99.1
276,DADA,3.5.4.4
277,DADK,2.7.4.3
278,DAGK160,2.7.1.107
279,DAPAL,4.3.1.15
280,DAPDC,4.1.1.20
281,DAPE,5.1.1.7
282,DASYN120,2.7.7.41
283,DASYN140,2.7.7.41
284,DASYN141,2.7.7.41
285,DASYN160,2.7.7.41
286,DASYN161,2.7.7.41
